code,name,description,refreshed_at,from_date,to_date
BOM501311,JAYABHARAT CREDIT LTD.-$ EOD Prices,End of Day prices and additional trading information for JAYABHARAT CREDIT LTD.-$ EOD Prices.,2019-02-01 13:23:49,1991-07-05,2017-09-04
BOM501314,Gromo Trade & Consultancy Ltd EOD Prices,End of Day prices and additional trading information for Gromo Trade & Consultancy Ltd EOD Prices.,2015-11-12 11:56:32,2014-01-15,2015-02-20
BOM501343,MOTOR & GENERAL FINANCE LTD. EOD Prices,End of Day prices and additional trading information for MOTOR & GENERAL FINANCE LTD. EOD Prices.,2019-02-01 13:23:49,1993-02-04,2019-01-28
BOM501351,RAPID INVESTMENTS LTD. EOD Prices,End of Day prices and additional trading information for RAPID INVESTMENTS LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-23,2018-10-08
BOM501368,Gujarat Organics Ltd. EOD Prices,End of Day prices and additional trading information for Gujarat Organics Ltd. EOD Prices.,2015-11-12 11:56:32,1995-11-08,2004-08-20
BOM501370,WALCHAND PEOPLEFIRST LTD. EOD Prices,End of Day prices and additional trading information for WALCHAND PEOPLEFIRST LTD. EOD Prices.,2019-02-01 13:23:49,1991-02-26,2019-01-31
BOM501386,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD. EOD Prices,End of Day prices and additional trading information for SWASTIK SAFE DEPOSIT & INVESTMENTS LTD. EOD Prices.,2019-02-01 13:23:49,1997-04-25,2008-09-11
BOM501391,W.H.BRADY & CO.LTD. EOD Prices,End of Day prices and additional trading information for W.H.BRADY & CO.LTD. EOD Prices.,2019-02-01 13:23:49,1992-01-31,2019-01-30
BOM501421,TECHNVISION VENTURES LTD. EOD Prices,End of Day prices and additional trading information for TECHNVISION VENTURES LTD. EOD Prices.,2019-02-01 13:23:49,1995-10-19,2019-01-31
BOM501423,SHAILY ENGINEERING PLASTICS LTD. EOD Prices,End of Day prices and additional trading information for SHAILY ENGINEERING PLASTICS LTD. EOD Prices.,2019-02-01 13:23:49,1996-07-04,2019-01-31
BOM501425,BOMBAY BURMAH TRADING CORP.LTD. EOD Prices,End of Day prices and additional trading information for BOMBAY BURMAH TRADING CORP.LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-07,2019-01-31
BOM501430,BOMBAY CYCLE & MOTOR AGENCY LTD. EOD Prices,End of Day prices and additional trading information for BOMBAY CYCLE & MOTOR AGENCY LTD. EOD Prices.,2019-02-01 13:23:49,1996-06-19,2019-01-31
BOM501455,GREAVES COTTON LTD. EOD Prices,End of Day prices and additional trading information for GREAVES COTTON LTD. EOD Prices.,2019-02-01 13:23:49,1991-01-23,2019-01-31
BOM501471,MACK TRADING CO.LTD. EOD Prices,End of Day prices and additional trading information for MACK TRADING CO.LTD. EOD Prices.,2019-02-01 13:23:49,1994-01-04,2018-10-12
BOM501473,MALABAR TRADING CO.LTD. EOD Prices,End of Day prices and additional trading information for MALABAR TRADING CO.LTD. EOD Prices.,2019-02-01 13:23:49,1996-07-16,2016-02-04
BOM501477,MULLER & PHIPPS (INDIA) LTD. EOD Prices,End of Day prices and additional trading information for MULLER & PHIPPS (INDIA) LTD. EOD Prices.,2019-02-01 13:23:49,2015-06-30,2019-01-10
BOM501479,New Sagar Trading Co.ltd. EOD Prices,End of Day prices and additional trading information for New Sagar Trading Co.ltd. EOD Prices.,,,
BOM501482,Parekh Distributors Ltd. EOD Prices,End of Day prices and additional trading information for Parekh Distributors Ltd. EOD Prices.,2015-11-12 11:56:32,1996-07-12,2005-08-08
BOM501622,Amalgamated Electricity Co.ltd. EOD Prices,End of Day prices and additional trading information for Amalgamated Electricity Co.ltd. EOD Prices.,2015-11-12 11:56:32,1995-09-27,2013-12-05
BOM501630,Anand Projects Ltd EOD Prices,End of Day prices and additional trading information for Anand Projects Ltd EOD Prices.,2019-02-01 13:23:49,1991-03-13,2013-11-06
